Ticker,Price,RSI,Discount
AAPL,248.04,12.1,14.1%
HPE,21.05,22.8,19.9%
HIG,128.62,23.9,8.5%
MRVL,80.23,24.5,36.7%
JCI,113.59,25.9,8.4%
WFC,86.96,26.8,11.0%
FSLR,242.15,27.7,15.3%
BAC,51.72,28.1,10.1%
LVS,59.95,28.7,14.9%
INSM,156.21,29.4,26.6%
JPM,297.72,29.9,11.4%
L,101.86,30.8,6.6%
WYNN,113.55,31.2,15.7%
COF,217.3,31.7,16.3%
SHOP,137.89,31.9,24.3%
ISRG,523.99,32.1,14.0%
APP,524.41,32.2,29.7%
APO,136.31,33.0,21.0%
CCL,28.55,33.2,13.2%
SYF,76.61,34.1,13.7%
UHS,205.09,34.6,16.7%
GE,293.87,35.2,11.7%
AVGO,320.05,35.7,22.7%
PRU,107.69,36.0,10.1%
AFL,107.09,36.5,7.1%
ATO,165.34,36.9,7.9%
CB,300.91,37.1,5.1%
TEL,223.84,37.6,10.7%
HOOD,106.99,38.8,30.5%
SRE,85.94,38.8,9.6%
CINF,157.03,39.1,7.1%
TRV,277.72,39.6,6.1%
ABBV,219.26,41.5,9.1%
CSCO,74.59,41.8,7.2%
UAL,107.74,42.1,9.6%
TTWO,245.73,42.2,7.2%
C,113.59,42.2,8.5%
WELL,183.68,42.4,12.1%
AES,14.25,42.4,7.0%
REGN,753.55,43.1,8.2%
GEHC,79.77,43.4,15.7%
EXPE,271.14,43.6,10.8%
AXP,361.69,43.8,6.5%
BIIB,171.59,44.1,9.8%
GEV,657.78,44.1,10.0%
CPT,107.86,44.3,11.5%
PLD,127.15,44.8,5.8%
STT,126.09,44.8,8.0%
CRH,122.84,44.8,6.6%
GL,136.5,45.5,7.3%
WTW,322.81,45.5,8.2%
OMC,79.79,45.6,7.3%
A,135.05,46.3,15.6%
MS,179.0,46.5,7.1%
GM,79.68,46.7,6.5%
DAL,67.96,47.0,7.1%
APTV,76.47,47.0,14.0%
FTV,54.59,47.0,12.7%
TKO,204.91,47.1,6.1%
LLY,1064.29,47.3,6.1%
UNP,229.65,47.5,8.5%
DIS,110.98,47.8,10.4%
VTR,76.99,47.9,5.4%
MCK,820.23,48.0,8.3%
NVDA,187.67,48.3,11.6%
ABNB,132.15,48.3,19.4%
HBAN,17.35,48.7,8.2%
MTD,1406.36,49.2,7.8%
EXE,109.49,49.4,13.5%
RF,27.48,49.4,6.1%
SOLV,78.91,49.7,10.5%
HCA,470.88,50.3,9.3%
IBM,292.44,50.5,10.0%
COO,81.29,50.7,18.9%
INCY,101.99,50.9,9.2%
MMM,162.68,51.1,6.9%
GS,918.88,51.1,6.7%
AMP,496.6,51.2,13.6%
HSIC,77.21,51.3,6.4%
HUM,266.5,51.7,14.9%
JBL,243.14,51.8,5.8%
DLTR,128.92,51.8,9.5%
TROW,105.63,51.8,8.5%
XEL,75.01,51.8,8.9%
FANG,154.02,52.1,10.9%
PLTR,169.6,52.2,18.3%
ANET,136.34,52.6,17.3%
LYV,146.97,52.8,16.1%
BK,117.61,52.8,6.2%
AEP,116.63,52.9,6.5%
APA,25.8,53.5,6.0%
HWM,214.89,53.7,5.3%
F,13.56,53.7,6.5%
LUV,41.95,54.1,6.8%
DHI,150.51,54.5,18.2%
TSLA,449.06,54.9,10.0%
PNR,107.55,55.0,5.2%
YUM,152.97,55.1,5.0%
DHR,235.01,55.8,8.4%
BMY,54.65,55.9,9.3%
PEP,144.58,55.9,6.9%
DAY,69.42,56.3,7.6%
ES,69.58,56.4,6.5%
TRGP,191.5,56.7,8.2%
XYL,141.23,57.0,8.2%
CCEP,89.85,57.0,9.3%
VRTX,468.41,57.2,9.9%
PHM,125.16,57.4,11.6%
EQT,55.52,57.5,10.8%
SNPS,501.39,57.5,23.1%
OXY,44.1,57.5,14.3%
CTRA,27.42,58.0,5.6%
WAT,392.31,58.1,7.4%
BLK,1129.91,58.4,6.9%
INTC,45.07,58.4,17.5%
CTSH,84.18,58.9,5.8%
BDX,201.79,59.0,18.2%
NXPI,232.48,59.1,7.3%
TAP,49.35,59.4,21.4%
IDXX,693.85,59.4,9.9%
LDOS,191.23,59.7,6.9%
