Ticker,Action,Upside %,Current Price,Fair Value,Rating,WACC
MMM,WAIT,,162.68,,AAA,9.3%
ABBV,WAIT,-45.1,219.26,120.45,A-,5.8%
AES,BUY,45.7,14.25,20.76,B-,9.0%
AFL,BUY,20.0,107.09,128.48,AAA,6.9%
A,WAIT,-38.4,135.05,83.2,AAA,10.2%
ABNB,WAIT,-5.1,132.15,125.45,AAA,9.5%
LNT,WAIT,-58.8,66.83,27.54,B+,7.3%
AEE,WAIT,-38.1,102.32,63.31,BB+,6.6%
AEP,WAIT,-23.3,116.63,89.45,BB+,6.7%
AXP,WAIT,-14.7,361.69,308.41,CCC,10.0%
AMP,BUY,47.7,496.6,733.67,AA,10.1%
APA,BUY,345.5,25.8,114.95,AAA,6.5%
APO,BUY,37.7,136.31,187.67,AAA,9.6%
AAPL,WAIT,-54.6,248.04,112.57,AAA,9.5%
APP,WAIT,-90.0,524.41,52.41,A+,16.5%
APTV,BUY,271.2,76.47,283.88,A+,9.4%
ACGL,BUY,152.3,92.96,234.56,AAA,6.2%
ANET,WAIT,-75.0,136.34,34.04,AAA,11.3%
AIZ,BUY,344.8,233.39,1038.19,AAA,6.6%
ATO,WAIT,-50.7,165.34,81.53,AAA,7.0%
